Zone,StationName,Year,Month,Day,AirTemperature,Lat,Long
1,6,2014,6,10,59.142113475177275,47.66127,-122.301926
1,6,2014,6,11,61.183165938864605,47.66127,-122.301926
1,6,2014,6,12,62.91738569753808,47.66127,-122.301926
1,6,2014,6,13,56.82702112676062,47.66127,-122.301926
1,6,2014,6,14,57.248753521126744,47.66127,-122.301926
1,6,2014,6,15,55.304872340425526,47.66127,-122.301926
1,6,2014,6,16,55.46231802120147,47.66127,-122.301926
1,6,2014,6,17,57.037720279720304,47.66127,-122.301926
1,6,2014,6,18,58.89786524822698,47.66127,-122.301926
1,6,2014,6,19,63.83224475524472,47.66127,-122.301926
1,6,2014,6,20,59.454843205575,47.66127,-122.301926
1,6,2014,6,21,62.5417385620915,47.66127,-122.301926
1,6,2014,6,22,65.08023404255309,47.66127,-122.301926
1,6,2014,6,23,66.9943971631206,47.66127,-122.301926
1,6,2014,6,24,65.64491986062733,47.66127,-122.301926
1,6,2014,6,25,68.26641696113073,47.66127,-122.301926
1,6,2014,6,26,64.67551063829777,47.66127,-122.301926
1,6,2014,6,27,62.7683706293707,47.66127,-122.301926
1,6,2014,6,28,62.78482105263161,47.66127,-122.301926
1,6,2014,6,29,63.10755087719307,47.66127,-122.301926
1,6,2014,6,30,66.3529894736841,47.66127,-122.301926
1,6,2014,7,1,76.21389361702134,47.66127,-122.301926
1,6,2014,7,2,70.34280412371135,47.66127,-122.301926
1,6,2014,7,3,63.66351748251755,47.66127,-122.301926
1,6,2014,7,4,64.81318439716317,47.66127,-122.301926
1,6,2014,7,5,66.13303597122304,47.66127,-122.301926
1,6,2014,7,6,71.40563829787244,47.66127,-122.301926
1,6,2014,7,7,71.45213380281692,47.66127,-122.301926
1,6,2014,7,8,73.4102807017544,47.66127,-122.301926
1,6,2014,7,9,71.20032055749111,47.66127,-122.301926
1,6,2014,7,10,71.67271126760555,47.66127,-122.301926
1,6,2014,7,11,74.64505633802816,47.66127,-122.301926
1,6,2014,7,12,76.76822456140349,47.66127,-122.301926
1,6,2014,7,13,76.41244177840498,47.66127,-122.301926
1,6,2014,7,14,71.9157142857143,47.66127,-122.301926
1,6,2014,7,15,73.45858333333341,47.66127,-122.301926
1,6,2014,7,16,73.15625850340132,47.66127,-122.301926
1,6,2014,7,17,67.03107420494696,47.66127,-122.301926
1,6,2014,7,18,66.40863768115936,47.66127,-122.301926
1,6,2014,7,19,66.99933559322027,47.66127,-122.301926
1,6,2014,7,20,60.34354545454557,47.66127,-122.301926
1,6,2014,7,21,65.42858450704215,47.66127,-122.301926
1,6,2014,7,22,63.31137588652482,47.66127,-122.301926
1,6,2014,7,23,61.389865248226876,47.66127,-122.301926
1,6,2014,7,24,59.57255197132629,47.66127,-122.301926
1,6,2014,7,25,64.70612631578943,47.66127,-122.301926
1,6,2014,7,26,66.95924555160137,47.66127,-122.301926
1,6,2014,7,27,70.1850671378091,47.66127,-122.301926
1,6,2014,7,28,73.79374285714279,47.66127,-122.301926
1,6,2014,7,29,73.0026548042703,47.66127,-122.301926
1,6,2014,7,30,72.61396350364957,47.66127,-122.301926
1,6,2014,7,31,73.46528315412183,47.66127,-122.301926
1,6,2014,8,1,72.56721299638998,47.66127,-122.301926
1,6,2014,8,2,71.05956028368782,47.66127,-122.301926
1,6,2014,8,3,74.6237500000001,47.66127,-122.301926
1,6,2014,8,4,76.3745263157894,47.66127,-122.301926
1,6,2014,8,5,67.94249295774651,47.66127,-122.301926
