index,record_number,month,quality_code,rainfall_in,site,time,wateryear
3553856,71366895,Jul,0.0,0.0,RG20_25,07/06/2004 02:40:00 AM,2004
19299314,59449092,Mar,0.0,0.0,RG16,03/15/2013 08:10:00 PM,2013
13550490,42061616,Jul,0.0,0.0,RG11,07/24/2010 03:30:00 PM,2010
15437996,46439457,Jul,0.0,0.0,RG12,07/08/2011 11:40:00 AM,2011
8665719,63088488,Feb,0.0,0.0,RG17,02/20/2007 03:15:00 PM,2007
3640437,3015476,May,0.0,0.0,RG01,05/02/2005 05:45:00 PM,2005
14324279,3603190,Dec,0.0,0.0,RG01,12/03/2010 09:55:00 AM,2011
5585511,11623140,Nov,0.0,0.0,RG03,11/02/2005 11:15:00 AM,2006
7376998,11732707,Nov,0.0,0.0,RG03,11/17/2006 09:50:00 PM,2007
21569845,8288723,Oct,0.0,0.0,RG02,10/20/2014 03:05:00 PM,2015
11672707,37693498,Sep,0.0,0.0,RG10_30,09/12/2009 01:35:00 PM,2009
22565198,46834371,Apr,0.0,0.0,RG12,04/09/2015 05:10:00 PM,2015
19194241,55171764,Mar,0.0,0.0,RG15,03/16/2013 12:05:00 AM,2013
10133841,50354757,Jan,0.0,0.0,RG14,01/28/2008 06:45:00 AM,2008
5895429,24449823,Oct,0.0,0.0,RG07,10/14/2005 01:45:00 PM,2006
17690874,67867370,Nov,0.0,0.0,RG18,11/27/2011 11:30:00 PM,2012
21151375,63791488,Oct,0.0,0.0,RG17,10/27/2013 02:35:00 PM,2014
18180056,12435029,Jul,0.0,0.0,RG03,07/22/2013 12:40:00 PM,2013
21970522,21206165,Aug,0.0,0.0,RG05,08/12/2015 08:50:00 PM,2015
19407540,63729573,Mar,0.0,0.0,RG17,03/26/2013 03:00:00 PM,2013
4417742,32998566,Sep,0.0,0.0,RG09,09/23/2005 05:10:00 PM,2005
20899517,51022865,Jun,0.0,0.0,RG14,06/05/2014 02:25:00 AM,2014
17253065,50741693,Oct,0.0,0.0,RG14,10/02/2011 07:25:00 PM,2012
19648737,72315280,Jul,0.0,0.0,RG20_25,07/12/2013 02:45:00 AM,2013
20665193,42444031,Mar,0.0,0.0,RG11,03/13/2014 11:25:00 AM,2014
