index,StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
12341279,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",02/03/2016 12:05:00 AM,644236,45.03,45.65
15266746,NE45StViaduct,"(47.66127, -122.301929)",03/25/2016 05:40:00 PM,1778557,62.19,54.08
2887835,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",09/16/2014 01:41:00 PM,956239,91.7,91.7
3024634,SpokaneSwingBridge,"(47.571389, -122.351743)",09/28/2014 01:18:00 PM,886429,67.05,61.65
9626299,NE45StViaduct,"(47.66127, -122.301929)",10/25/2015 04:47:00 AM,1558902,49.99,50.68
24043123,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",06/29/2017 12:17:00 PM,1380840,88.9,66.67
24557697,SpokaneSwingBridge,"(47.571389, -122.351743)",07/12/2017 12:58:00 PM,2352329,96.0,73.15
8799097,MagnoliaBridge,"(47.633454, -122.387341)",09/09/2015 07:46:00 AM,1437403,62.58,61.41
10017725,JoseRizalBridgeNorth,"(47.59653, -122.317301)",11/16/2015 04:50:00 AM,1429492,35.28,37.76
1349867,SpokaneSwingBridge,"(47.571389, -122.351743)",04/21/2014 06:36:00 AM,655627,54.03,59.12
19311835,JoseRizalBridgeNorth,"(47.59653, -122.317301)",01/01/2017 01:21:00 AM,2022563,35.04,34.69
17492609,AlbroPlaceAirportWay,"(47.547426, -122.314114)",08/23/2016 09:00:00 PM,1222854,82.9,71.87
20604115,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",03/26/2017 06:06:00 PM,2284110,50.29,50.29
24564876,SpokaneSwingBridge,"(47.571389, -122.351743)",07/12/2017 07:50:00 AM,2352021,67.41,68.71
14222043,AuroraBridge,"(47.643174, -122.347278)",02/16/2016 10:54:00 AM,1722236,50.63,49.82
5304152,NE45StViaduct,"(47.66127, -122.301929)",03/01/2015 06:16:00 AM,1216331,37.01,34.75
30629464,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",03/28/2018 03:27:00 PM,1667482,50.91,50.91
707341,MagnoliaBridge,"(47.633454, -122.387341)",05/03/2014 03:49:00 AM,725805,58.25,52.4
3033038,AuroraBridge,"(47.643174, -122.347278)",09/29/2014 07:17:00 AM,994761,57.63,54.77
16447088,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",06/12/2016 09:32:00 PM,831315,73.9,60.04
7060420,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",06/04/2015 01:49:00 PM,187064,67.49,67.49
29250652,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",01/17/2018 04:01:00 PM,1672003,49.91,49.14
14491682,SpokaneSwingBridge,"(47.571389, -122.351743)",02/29/2016 12:58:00 PM,1633829,51.29,49.94
8321771,JoseRizalBridgeNorth,"(47.59653, -122.317301)",08/15/2015 05:05:00 PM,1296246,80.8,70.18
28163035,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",11/30/2017 09:26:00 AM,1603835,47.23,46.93
25570484,JoseRizalBridgeNorth,"(47.59653, -122.317301)",08/08/2017 05:54:00 AM,2338136,70.15,60.75
30520277,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",03/22/2018 01:39:00 PM,1658734,48.51,48.51
8439333,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",08/21/2015 12:47:00 AM,298602,72.24,72.24
2535786,SpokaneSwingBridge,"(47.571389, -122.351743)",08/16/2014 12:31:00 PM,824462,92.9,74.4
31587064,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",04/14/2018 12:38:00 PM,1797020,53.74,52.28
8635282,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",08/31/2015 01:04:00 AM,419595,63.82,63.31
16831748,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",07/13/2016 08:24:00 AM,875167,68.64,61.59
10706772,JoseRizalBridgeNorth,"(47.59653, -122.317301)",12/20/2015 08:25:00 PM,1479387,41.35,41.8
15490484,NE45StViaduct,"(47.66127, -122.301929)",04/08/2016 07:20:00 PM,1798817,79.5,65.31
23243854,JoseRizalBridgeNorth,"(47.59653, -122.317301)",06/14/2017 06:22:00 PM,2259684,85.6,66.63
27994133,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",11/20/2017 02:20:00 PM,1589729,51.29,49.47
9397909,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",10/10/2015 10:40:00 PM,1516865,58.95,58.95
18367617,JoseRizalBridgeNorth,"(47.59653, -122.317301)",10/25/2016 07:29:00 PM,1925671,62.57,58.79
5310900,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",03/01/2015 05:49:00 PM,155791,54.5,50.6
21400284,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",05/14/2017 04:29:00 AM,1315480,50.12,54.63
19268242,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",12/29/2016 02:33:00 AM,1119584,42.98,43.56
7693007,SpokaneSwingBridge,"(47.571389, -122.351743)",07/13/2015 01:16:00 AM,1300427,77.55,80.1
14326102,NE45StViaduct,"(47.66127, -122.301929)",02/21/2016 12:27:00 AM,1730063,43.17,42.06
30870027,SpokaneSwingBridge,"(47.571389, -122.351743)",04/03/2018 10:55:00 PM,2734526,51.62,54.53
20831446,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",04/10/2017 09:56:00 AM,1265499,52.0,49.34
17629510,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",09/01/2016 06:17:00 AM,947040,61.3,60.97
5868913,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",04/01/2015 02:29:00 PM,200172,67.08,52.62
10829447,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",12/26/2015 11:39:00 AM,482194,40.74,40.74
21911504,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",05/30/2017 03:32:00 AM,1338463,61.69,65.12
10756147,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",12/23/2015 10:23:00 PM,585094,40.05,41.48
22787137,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",06/11/2017 03:21:00 PM,1356452,89.1,71.6
29375076,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",01/22/2018 05:36:00 PM,1679298,46.2,44.32
11814762,AuroraBridge,"(47.643174, -122.347278)",01/15/2016 04:30:00 PM,1676492,44.27,46.93
7032546,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",06/03/2015 10:31:00 AM,185426,63.93,63.93
22303217,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",06/04/2017 05:30:00 AM,1345781,58.07,62.51
8669903,AlbroPlaceAirportWay,"(47.547426, -122.314114)",09/01/2015 05:53:00 PM,708587,66.53,61.17
12470037,AuroraBridge,"(47.643174, -122.347278)",02/06/2016 11:47:00 AM,1707889,46.35,48.84
1515298,JoseRizalBridgeNorth,"(47.59653, -122.317301)",05/17/2014 03:19:00 PM,640940,85.7,66.18
1462400,JoseRizalBridgeNorth,"(47.59653, -122.317301)",05/12/2014 09:33:00 PM,634114,79.83,69.59
27608420,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",10/29/2017 02:14:00 PM,1451409,55.42,55.42
28889566,MagnoliaBridge,"(47.633454, -122.387341)",12/30/2017 09:43:00 AM,2651500,42.4,44.14
15162248,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",03/18/2016 12:53:00 PM,708304,69.38,51.72
25780033,NE45StViaduct,"(47.66127, -122.301929)",08/10/2017 03:26:00 AM,2502022,77.5,67.99
17129943,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",08/04/2016 03:21:00 AM,907892,64.54,68.55
206643,HarborAveUpperNorthBridge,"(47.405028, -122.370873)",03/29/2014 07:06:00 PM,730509,51.39,49.18
18773853,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",11/25/2016 10:12:00 PM,2110176,46.88,46.88
23968711,SpokaneSwingBridge,"(47.571389, -122.351743)",06/26/2017 11:34:00 PM,2329925,74.79,77.51
